City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,274.49,99,100,4.67,SJ,1729135650
1,blackmans bay,-43.0167,147.3167,291.77,73,95,0.45,AU,1729135651
2,kavaratti,10.5669,72.642,299.92,84,100,4.24,IN,1729135653
3,iskateley,67.6803,53.1512,275.45,92,100,6.69,RU,1729135654
4,qaqortoq,60.7167,-46.0333,272.68,49,100,3.48,GL,1729135655
5,labasa,-16.4167,179.3833,300.53,66,33,3.22,FJ,1729135656
6,afaahiti,-17.75,-149.2833,297.28,70,43,1.09,PF,1729135657
7,bazarak,35.3129,69.5152,283.11,41,2,3.45,AF,1729135658
8,iqaluit,63.7506,-68.5145,273.0,100,100,7.2,CA,1729135661
9,ust-nera,64.5667,143.2,262.07,82,83,2.79,RU,1729135662
10,edinburgh of the seven seas,-37.0676,-12.3116,285.86,65,42,1.98,SH,1729135664
11,port-aux-francais,-49.35,70.2167,275.57,80,92,13.16,TF,1729135665
12,papatowai,-46.5619,169.4708,286.66,53,100,3.91,NZ,1729135666
13,mogadishu,2.0371,45.3438,299.06,78,88,7.56,SO,1729135535
14,mata-utu,-13.2816,-176.1745,300.4,82,18,6.6,WF,1729135669
15,novodvinsk,64.4165,40.8122,274.01,90,88,3.02,RU,1729135670
16,thompson,55.7435,-97.8558,280.24,76,75,2.57,CA,1729135585
17,turkmenbasy,40.0222,52.9552,285.58,47,0,4.12,TM,1729135672
18,bilibino,68.0546,166.4372,270.08,95,100,1.52,RU,1729135673
19,ribeira grande,38.5167,-28.7,292.23,59,27,0.82,PT,1729135675
20,benjamin constant,-4.3831,-70.0311,298.22,67,54,1.06,BR,1729135676
21,tiksi,71.6872,128.8694,261.35,87,98,2.31,RU,1729135677
22,tralee,52.2704,-9.7026,284.87,96,70,2.58,IE,1729135475
23,adamstown,-25.066,-130.1015,294.42,84,100,8.21,PN,1729135679
24,punta arenas,-53.15,-70.9167,282.21,81,100,4.12,CL,1729135496
25,yellowknife,62.456,-114.3525,277.27,100,100,2.06,CA,1729135682
26,arkalyk,50.2486,66.9114,273.73,71,0,3.75,KZ,1729135683
27,smithers,54.7804,-127.1743,279.33,61,40,1.03,CA,1729135685
28,taos,36.4072,-105.5731,284.51,52,85,3.6,US,1729135686
29,galliano,29.4422,-90.2992,290.15,36,0,5.66,US,1729135687
30,key west,24.5557,-81.7826,300.15,78,75,9.26,US,1729135689
31,saipan,15.1355,145.701,300.54,89,75,4.12,MP,1729135690
32,karratha,-20.7377,116.8463,300.31,23,0,5.04,AU,1729135691
33,invercargill,-46.4,168.35,287.6,64,99,3.13,NZ,1729135692
34,wailua homesteads,22.0669,-159.378,300.59,80,20,7.72,US,1729135693
35,waitangi,-43.9535,-176.5597,282.49,83,57,1.34,NZ,1729135694
36,ushuaia,-54.8,-68.3,283.96,58,20,4.12,AR,1729135512
37,bikenibeu village,1.3673,173.1241,304.13,74,40,2.57,KI,1729135697
38,hamilton,39.1834,-84.5333,280.28,84,20,1.34,US,1729135646
39,yuzhno-kurilsk,44.0306,145.8556,287.51,69,62,2.9,RU,1729135700
40,puerto deseado,-47.7503,-65.8938,282.92,79,92,3.23,AR,1729135701
